Sample	Family ID	Population	Population Description	Gender	Relationship	Unexpected Parent/Child 	Non Paternity	Siblings	Grandparents	Avuncular	Half Siblings	Unknown Second Order	Third Order	Other Comments
HG00096	HG00096	GBR	British in England and Scotland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00097	HG00097	GBR	British in England and Scotland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00098	HG00098	GBR	British in England and Scotland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00099	HG00099	GBR	British in England and Scotland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00100	HG00100	GBR	British in England and Scotland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00101	HG00101	GBR	British in England and Scotland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00102	HG00102	GBR	British in England and Scotland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00103	HG00103	GBR	British in England and Scotland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00104	HG00104	GBR	British in England and Scotland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00105	HG00105	GBR	British in England and Scotland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00106	HG00106	GBR	British in England and Scotland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00107	HG00107	GBR	British in England and Scotland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00108	HG00108	GBR	British in England and Scotland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00109	HG00109	GBR	British in England and Scotland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00110	HG00110	GBR	British in England and Scotland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00111	HG00111	GBR	British in England and Scotland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
